ÈÍSLO,OBEC,POÈET VOLIÈÙ,VYDANÉ OBÁLKY,PLATNÉ HLASY,KANDIDUJÍCÍ STRANY
592897,Bohaté Málkovice,200,111,111,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
592901,Bohdalice-Pavlovice,687,426,422,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
592919,Bo¹ovice,942,551,548,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
592927,Brankovice,721,440,435,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
592943,Buèovice,5 235,3 035,3 018,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
592978,Dìtkovice,217,130,130,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
592986,Dobroèkovice,179,106,106,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
592994,Dra¾ovice,735,461,459,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593001,Drnovice,1 929,1 247,1 236,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
593010,Drysice,451,238,236,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., Radostné Èesko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes».demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù, Národ Sobì"
